CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-03 00:00,m^3/s,298,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-04 00:00,m^3/s,327,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-05 00:00,m^3/s,313,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-06 00:00,m^3/s,263,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-07 00:00,m^3/s,236,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-08 00:00,m^3/s,217,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-09 00:00,m^3/s,205,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-10 00:00,m^3/s,195,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-11 00:00,m^3/s,183,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-12 00:00,m^3/s,174,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-13 00:00,m^3/s,167,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-14 00:00,m^3/s,163,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-15 00:00,m^3/s,157,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-16 00:00,m^3/s,152,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-17 00:00,m^3/s,147,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-18 00:00,m^3/s,140,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-19 00:00,m^3/s,140,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-20 00:00,m^3/s,140,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-21 00:00,m^3/s,137,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-22 00:00,m^3/s,137,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-23 00:00,m^3/s,140,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-24 00:00,m^3/s,160,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-25 00:00,m^3/s,326,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-26 00:00,m^3/s,708,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-27 00:00,m^3/s,658,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-28 00:00,m^3/s,537,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-29 00:00,m^3/s,650,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-30 00:00,m^3/s,567,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-03-31 00:00,m^3/s,462,Definitivo
